state_abreviations,state_name,state_names
destination,single,many
AL,Alabama,"ALABAMA,Alabama,Ala."
AK,Alaska,"ALASKA,Alaska"
AZ,Arizona,"ARIZONA,Arizona,Ariz."
AR,Arkansas,"ARKANSAS,Arkansas,Ark."
CA,California,"CALIFORNIA,California,Calif."
CO,Colorado,"COLORADO,Colorado,Colo."
CT,Connecticut,"CONNECTICUT,Connecticut,Conn."
DE,Delaware,"DELAWARE,Delaware,Del."
FL,Florida,"FLORIDA,Florida,Fla."
GA,Georgia,"GEORGIA,Georgia,Ga."
HI,Hawaii,"HAWAII,Hawaii"
ID,Idaho,"IDAHO,Idaho"
IL,Illinois,"ILLINOIS,Illinois,Ill."
IN,Indiana,"INDIANA,Indiana,Ind."
IA,Iowa,"IOWA,Iowa"
KS,Kansas,"KANSAS,Kansas,Kans."
KY,Kentucky,"KENTUCKY,Kentucky,Ky."
LA,Louisiana,"LOUISIANA,Louisiana,La."
ME,Maine,"MAINE,Maine"
MD,Maryland,"MARYLAND,Maryland,Md."
MA,Massachusetts,"MASSACHUSETTS,Massachusetts,Mass."
MI,Michigan,"MICHIGAN,Michigan,Mich."
MN,Minnesota,"MINNESOTA,Minnesota,Minn."
MS,Mississippi,"MISSISSIPPI,Mississippi,Miss."
MO,Missouri,"MISSOURI,Missouri,Mo."
MT,Montana,"MONTANA,Montana,Mont."
NE,Nebraska,"NEBRASKA,Nebraska,Neb."
NV,Nevada,"NEVADA,Nevada,Nev."
NH,New Hampshire,"NEW HAMPSHIRE,New Hampshire,N.H."
NJ,New Jersey,"NEW JERSEY,New Jersey,N.J."
NM,New Mexico,"NEW MEXICO,New Mexico,N.Mex."
NY,New York State,"NEW YORK,New York State,N.Y."
NC,North Carolina,"NORTH CAROLINA,North Carolina,N.C."
ND,North Dakota,"NORTH DAKOTA,North Dakota,N.Dak."
OH,Ohio,"OHIO,Ohio"
OK,Oklahoma,"OKLAHOMA,Oklahoma,Okla."
OR,Oregon,"OREGON,Oregon,Ore."
PA,Pennsylvania,"PENNSYLVANIA,Pennsylvania,Pa."
RI,Rhode Island,"RHODE ISLAND,Rhode Island,R.I."
SC,South Carolina,"SOUTH CAROLINA,South Carolina,S.C."
SD,South Dakota,"SOUTH DAKOTA,South Dakota,S.Dak."
TN,Tennessee,"TENNESSEE,Tennessee,Tenn."
TX,Texas,"TEXAS,Texas,Tex."
UT,Utah,"UTAH,Utah"
VT,Vermont,"VERMONT,Vermont,Vt."
VA,Virginia,"VIRGINIA,Virginia,Va."
WA,Washington,"WASHINGTON,Washington,Wash."
WV,West Virginia,"WEST VIRGINIA,West Virginia,W.Va."
WI,Wisconsin,"WISCONSIN,Wisconsin,Wis."
WY,Wyoming,"WYOMING,Wyoming,Wyo."
